Date,Open,High,Low,Close,Adj Close
24-07-2020,0.103,0.103,0.098,0.098,0.098
23-07-2020,0.108,0.108,0.1,0.103,0.103
22-07-2020,0.105,0.105,0.1,0.1,0.1
21-07-2020,0.115,0.115,0.11,0.11,0.11
20-07-2020,0.105,0.108,0.105,0.105,0.105
17-07-2020,0.1,0.105,0.1,0.105,0.105
16-07-2020,0.118,0.118,0.1,0.103,0.103
15-07-2020,0.125,0.128,0.12,0.125,0.125
14-07-2020,0.133,0.133,0.133,0.133,0.133
13-07-2020,0.12,0.128,0.12,0.125,0.125
10-07-2020,0.12,0.12,0.12,0.12,0.12
09-07-2020,0.13,0.13,0.12,0.123,0.123
08-07-2020,0.138,0.138,0.135,0.135,0.135
07-07-2020,0.14,0.143,0.14,0.14,0.14
06-07-2020,0.135,0.135,0.128,0.128,0.128
02-07-2020,0.128,0.135,0.128,0.133,0.133
01-07-2020,0.135,0.135,0.13,0.13,0.13
30-06-2020,0.138,0.138,0.135,0.135,0.135
29-06-2020,0.13,0.13,0.125,0.125,0.125
26-06-2020,0.133,0.135,0.128,0.133,0.133
25-06-2020,0.135,0.135,0.128,0.13,0.13
24-06-2020,0.138,0.138,0.135,0.135,0.135
23-06-2020,0.145,0.145,0.14,0.14,0.14
22-06-2020,0.14,0.143,0.14,0.14,0.14
19-06-2020,0.143,0.148,0.14,0.143,0.143
18-06-2020,0.148,0.148,0.14,0.14,0.14
17-06-2020,0.16,0.165,0.16,0.165,0.165
16-06-2020,0.153,0.163,0.153,0.16,0.16
15-06-2020,0.158,0.163,0.155,0.155,0.155
12-06-2020,0.155,0.165,0.15,0.15,0.15
11-06-2020,0.158,0.158,0.15,0.153,0.153
10-06-2020,0.163,0.168,0.163,0.165,0.165
09-06-2020,0.16,0.165,0.16,0.165,0.165
08-06-2020,0.148,0.153,0.148,0.153,0.153
05-06-2020,0.143,0.145,0.14,0.145,0.145
04-06-2020,0.143,0.143,0.138,0.14,0.14
03-06-2020,0.145,0.148,0.145,0.148,0.148
02-06-2020,0.143,0.145,0.143,0.145,0.145
01-06-2020,0.13,0.13,0.128,0.128,0.128
29-05-2020,0.13,0.13,0.128,0.128,0.128
28-05-2020,0.133,0.14,0.133,0.138,0.138
27-05-2020,0.125,0.14,0.125,0.135,0.135
26-05-2020,0.11,0.118,0.11,0.118,0.118
22-05-2020,0.11,0.113,0.108,0.11,0.11
21-05-2020,0.11,0.113,0.11,0.11,0.11
20-05-2020,0.113,0.12,0.113,0.118,0.118
19-05-2020,0.113,0.12,0.113,0.118,0.118
18-05-2020,0.105,0.105,0.103,0.105,0.105
15-05-2020,0.105,0.108,0.1,0.103,0.103
14-05-2020,0.108,0.113,0.105,0.105,0.105
13-05-2020,0.118,0.12,0.11,0.115,0.115
12-05-2020,0.118,0.123,0.118,0.123,0.123
11-05-2020,0.098,0.105,0.095,0.105,0.105
08-05-2020,0.098,0.098,0.09,0.095,0.095
07-05-2020,0.105,0.105,0.09,0.095,0.095
06-05-2020,0.078,0.108,0.078,0.108,0.108
05-05-2020,0.103,0.11,0.1,0.11,0.11
04-05-2020,0.095,0.103,0.09,0.09,0.09
01-05-2020,0.088,0.095,0.088,0.093,0.093
30-04-2020,0.078,0.093,0.078,0.09,0.09
29-04-2020,0.075,0.1,0.075,0.09,0.09
28-04-2020,0.103,0.103,0.083,0.085,0.085
27-04-2020,0.09,0.1,0.09,0.093,0.093
24-04-2020,0.093,0.103,0.093,0.1,0.1
23-04-2020,0.088,0.1,0.088,0.093,0.093
22-04-2020,0.103,0.103,0.093,0.093,0.093
21-04-2020,0.105,0.11,0.098,0.098,0.098
20-04-2020,0.1,0.108,0.07,0.07,0.07
